,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
2601,PORK FRESH BACKRIBS RAW,63.47,224,19.07,16.33,1.03,0.0,0.0,0.0,31.0,0.76,16.0,154.0,247.0,87.0,2.54,0.091,0.008,30.7,0.0,0.457,0.305,6.776,0.818,0.422,0.0,0.0,0.0,0.0,65.5,0.56,22.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.24,1.1,42.0,0.0,5.783,6.861,2.676,69.0,85.0,3 oz,,,37.0
2602,PORK FRESH BELLY RAW,36.74,518,9.34,53.01,0.49,0.0,0.0,0.0,5.0,0.52,4.0,108.0,185.0,32.0,1.02,0.052,0.006,8.0,0.3,0.396,0.242,4.647,0.256,0.13,1.0,0.0,1.0,1.0,,0.84,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.39,,,0.0,19.33,24.7,5.65,72.0,28.35,1 oz,453.6,1 lb,7.0
2603,PORK FRESH BUTT LEAN RAW,74.31,132,18.73,5.71,0.88,0.0,0.0,0.0,14.0,1.2,22.0,202.0,339.0,65.0,3.36,0.102,0.013,28.2,0.0,0.558,0.384,4.387,1.567,0.521,0.0,0.0,0.0,0.0,78.8,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.6,22.0,0.0,1.998,2.484,0.62,60.0,85.0,3 oz,258.0,"1 steak, without refuse (Yield from 1 raw steak, with refuse, weighing 379g)",32.0
2604,PORK FRESH CARCASS RAW,49.83,376,13.91,35.07,0.72,0.0,0.0,0.0,19.0,0.69,13.0,155.0,253.0,42.0,1.59,0.055,0.011,28.4,0.4,0.595,0.207,3.846,0.526,0.284,4.0,0.0,4.0,4.0,,0.61,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.29,,,,12.44,15.93,3.8,74.0,28.35,1 oz,453.6,1 lb,18.0
2605,PORK FRESH COOKED ROASTED,55.04,273,26.83,17.61,1.06,0.0,0.0,0.0,14.0,1.01,22.0,263.0,352.0,60.0,2.96,0.1,0.032,45.3,0.3,0.635,0.313,4.574,0.617,0.402,10.0,0.0,10.0,10.0,92.2,0.68,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.22,0.8,33.0,0.0,6.47,7.88,1.68,94.0,135.0,"1 cup, diced",85.0,3 oz,20.0
2606,PORK FRESH FAT COOKED,26.26,626,7.06,66.1,0.42,0.0,0.0,0.0,22.0,0.46,9.0,109.0,125.0,56.0,0.75,0.09,0.003,11.5,0.0,0.21,0.2,3.12,0.51,0.192,0.0,0.0,0.0,0.0,32.9,0.54,80.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,72.0,0.0,23.856,28.987,11.538,79.0,28.35,1 oz,113.0,4 oz,0.0
2607,PORK FRESH FAT RAW,24.76,632,9.25,65.7,0.51,0.0,0.0,0.0,14.0,0.26,6.0,84.0,333.0,47.0,0.6,0.067,0.0,9.0,0.0,0.16,0.09,2.63,0.43,0.143,0.0,0.0,0.0,0.0,31.0,0.67,86.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.42,1.7,69.0,0.0,21.979,28.041,13.186,72.0,28.35,1 oz,113.0,4 oz,0.0
2608,PORK FRESH GROUND COOKED,52.75,297,25.69,20.77,1.29,0.0,0.0,0.0,22.0,1.29,24.0,226.0,362.0,73.0,3.21,0.044,0.011,35.4,0.7,0.706,0.22,4.206,0.52,0.391,6.0,0.0,6.0,6.0,88.3,0.54,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.21,0.5,21.0,0.0,7.72,9.25,1.87,94.0,85.0,3 oz,,,0.0
2609,PORK FRESH GROUND RAW,61.06,263,16.88,21.19,0.87,0.0,0.0,,14.0,0.88,19.0,175.0,287.0,56.0,2.2,0.045,0.01,24.6,0.7,0.732,0.235,4.338,0.668,0.383,5.0,0.0,5.0,5.0,,0.7,7.0,2.0,2.0,,,,,,,,,,7.87,9.44,1.91,72.0,28.35,1 oz,113.0,4 oz,0.0
2610,PORK FRESH LEAN COOKED ROASTED,60.66,211,29.41,9.44,1.11,0.0,0.0,0.0,7.0,1.12,25.0,281.0,373.0,64.0,3.26,0.108,0.037,49.9,0.4,0.69,0.349,4.935,0.67,0.45,12.0,0.0,12.0,12.0,101.1,0.72,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.26,0.9,36.0,0.0,3.3,4.45,0.85,94.0,135.0,"1 cup, diced",85.0,3 oz,32.0
2611,PORK FRESH LEAN RAW,72.9,136,20.48,5.41,1.05,0.0,0.0,0.0,6.0,1.01,25.0,229.0,369.0,55.0,2.27,0.075,0.029,35.4,0.9,0.875,0.228,5.338,0.805,0.5,9.0,0.0,9.0,9.0,72.3,0.71,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.17,0.6,23.0,0.0,1.87,2.44,0.58,68.0,28.35,1 oz,453.6,1 lb,35.0
2612,PORK FRESH LOIN BONELESS RAW,70.14,166,21.34,8.33,0.97,0.0,0.0,0.0,7.0,0.53,24.0,216.0,358.0,47.0,1.73,0.056,0.007,26.5,0.0,0.426,0.181,5.566,0.722,0.718,0.0,0.0,0.0,0.0,57.3,0.54,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.12,0.5,21.0,0.0,1.598,1.861,0.651,64.0,85.0,3 oz,2195.0,1 roast,16.0
2613,PORK FRESH LOIN COOKED BRAISED,58.27,239,27.23,13.62,1.35,0.0,0.0,0.0,21.0,1.07,19.0,181.0,374.0,48.0,2.38,0.077,0.012,45.3,0.6,0.632,0.254,4.419,0.648,0.366,3.0,0.0,3.0,3.0,93.6,0.54,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.24,1.2,47.0,0.0,5.11,6.06,1.17,80.0,85.0,3 oz,89.0,"1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",21.0
