,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
0,ABALONE MIXED SP COOKED FRIED,60.1,189,19.63,6.78,1.77,11.05,0.0,,37.0,3.8,56.0,217.0,284.0,591.0,0.95,0.228,0.07,51.8,1.8,0.22,0.13,1.9,2.87,0.15,14.0,9.0,5.0,20.0,,0.69,5.0,2.0,2.0,,,,,,,,,,1.646,2.741,1.676,94.0,85.0,3 oz,,,0.0
1,ABALONE MIXED SPECIES RAW,74.56,105,17.1,0.76,1.57,6.01,0.0,0.0,31.0,3.19,48.0,190.0,250.0,301.0,0.82,0.196,0.04,44.8,2.0,0.19,0.1,1.5,3.0,0.15,5.0,0.0,5.0,5.0,65.0,0.73,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,23.0,0.149,0.107,0.104,85.0,85.0,3 oz,,,0.0
2,ABIYUCH RAW,79.9,69,1.5,0.1,0.9,17.6,5.3,8.55,8.0,1.61,24.0,47.0,304.0,20.0,0.31,0.057,0.182,,54.1,,,,,,,,,,,,100.0,5.0,0.0,0.0,60.0,,,,,,,,0.014,,,,114.0,.5 cup,,,
3,ACEROLA JUICE RAW,94.3,23,0.4,0.3,0.2,4.8,0.3,4.5,10.0,0.5,12.0,9.0,97.0,3.0,0.1,0.086,,0.1,1600.0,0.02,0.06,0.4,0.205,0.004,14.0,0.0,14.0,14.0,,0.0,509.0,25.0,0.0,0.0,305.0,0.0,0.0,17.0,0.18,,,1.4,0.068,0.082,0.09,0.0,242.0,1 cup,30.2,1 fl oz,0.0
4,ACORN,79.78,95,6.81,3.47,0.72,9.22,0.7,0.34,14.0,1.0,12.0,62.0,110.0,130.0,1.6,0.03,0.14,8.3,0.0,0.175,0.125,2.14,0.212,0.055,33.0,15.0,18.0,44.0,,0.68,0.0,0.0,0.0,,,,,,0.3,,,0.0,1.28,1.68,0.297,20.0,,,,,0.0
5,ACORN FLOUR FAT,6.0,501,7.49,30.17,1.69,54.65,,,43.0,1.21,110.0,103.0,712.0,0.0,0.64,0.611,1.743,,0.0,0.146,0.154,2.382,0.931,0.688,114.0,0.0,114.0,114.0,,0.0,51.0,3.0,0.0,,,,,,,,,,3.923,19.11,5.813,0.0,28.35,1 oz,,,0.0
6,ACORNS DRIED,5.06,509,8.1,31.41,1.78,53.66,,,54.0,1.04,82.0,103.0,709.0,0.0,0.67,0.818,1.363,,0.0,0.149,0.154,2.406,0.94,0.695,115.0,0.0,115.0,115.0,,0.0,0.0,0.0,0.0,,,,,,,,,,4.084,19.896,6.052,0.0,28.35,1 oz,,,38.0
7,ACORNS RAW,27.9,387,6.15,23.86,1.35,40.75,,,41.0,0.79,62.0,79.0,539.0,0.0,0.51,0.621,1.337,,0.0,0.112,0.118,1.827,0.715,0.528,87.0,0.0,87.0,87.0,,0.0,39.0,2.0,0.0,,,,,,,,,,3.102,15.109,4.596,0.0,28.35,1 oz,,,38.0
8,AGAVE,81.83,68,0.52,0.15,1.27,16.23,6.6,2.58,417.0,1.8,55.0,7.0,127.0,14.0,0.15,0.138,0.094,0.4,4.0,0.029,0.039,0.162,0.041,0.055,7.0,0.0,7.0,7.0,,0.0,37.0,2.0,0.0,0.0,22.0,0.0,0.0,,0.23,0.0,0.0,5.3,,,,0.0,,,,,0.0
9,AGUTUK FISH BERRY SEAL NATIVE,47.3,353,3.4,31.8,4.1,13.4,0.5,,8.0,0.3,7.0,46.0,70.0,21.0,0.18,0.03,0.13,,2.9,0.04,0.05,0.55,0.02,0.01,3.0,,3.0,,,,696.0,,,,,,,,2.36,,,,7.7,14.4,8.4,10.0,,,,,0.0
10,AGUTUK FISH ICE NATIVE,34.0,470,9.0,43.5,3.0,10.5,,,,0.2,16.0,134.0,206.0,24.0,0.47,0.03,,,,0.06,0.06,1.43,,,,,,,,,257.0,34.0,,,,,,,4.0,,,,8.6,15.6,17.3,26.0,,,,,0.0
11,AGUTUK MEAT ICE NATIVE,55.2,258,21.7,18.6,3.6,0.9,,,16.0,4.55,20.0,170.0,228.0,95.0,3.83,0.19,0.06,,2.2,0.18,0.66,4.26,1.95,0.23,4.0,,4.0,,,4.83,559.0,,,,,,,,,,,,5.1,8.7,3.6,89.0,,,,,0.0
12,ALCOHOLIC BEVERAGE,78.4,134,0.5,0.0,0.0,5.0,0.0,0.0,5.0,0.1,6.0,6.0,25.0,2.0,0.02,0.009,,1.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1,1 fl oz,,,0.0
13,ALCOHOLIC BEVERAGE BEER LIGHT,94.88,29,0.24,0.0,0.09,1.64,0.0,0.09,4.0,0.03,5.0,12.0,21.0,4.0,0.01,0.006,0.006,0.4,0.0,0.005,0.015,0.391,0.03,0.034,6.0,0.0,6.0,6.0,8.8,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,1 fl oz,354.0,"1 can,  or bottle (12 fl oz)",0.0
14,ALCOHOLIC BEVERAGE BEER REGULAR,91.96,43,0.46,0.0,0.16,3.55,0.0,0.0,4.0,0.02,6.0,14.0,27.0,4.0,0.01,0.005,0.008,0.6,0.0,0.005,0.025,0.513,0.041,0.046,6.0,0.0,6.0,6.0,10.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,1 fl oz,356.0,1 can,0.0
15,ALCOHOLIC BEVERAGE BEER REGULAR BUDWEISER,92.77,41,0.36,0.0,0.11,2.97,0.0,,4.0,0.0,7.0,13.0,33.0,3.0,0.0,0.003,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,29.8,1 fl oz,357.0,12 fl oz,0.0
16,ALCOHOLIC BEVERAGE DAIQUIRI CANNED,74.6,125,0.0,0.0,0.1,15.7,0.0,,0.0,0.01,1.0,2.0,11.0,40.0,0.03,0.016,0.005,0.1,1.3,0.001,0.001,0.014,0.007,0.003,1.0,0.0,1.0,1.0,,0.0,2.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,30.5,1 fl oz,207.0,"1 can,  (6.8 fl oz, 200 ml)",0.0
17,ALCOHOLIC BEVERAGE DAIQUIRI PREPARED RECIPE,69.74,186,0.06,0.06,0.08,6.94,0.1,5.58,3.0,0.09,2.0,5.0,21.0,5.0,0.04,0.022,0.015,0.1,1.6,0.013,0.005,0.051,0.017,0.008,2.0,0.0,2.0,2.0,,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.03,,,0.1,0.006,0.006,0.016,0.0,30.2,1 fl oz,60.0,"1 cocktail,  (2 fl oz)",0.0
18,ALCOHOLIC BEVERAGE DISTILLED GIN PROOF,62.1,263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,1 fl oz,42.0,"1 jigger,  (1.5 fl oz)",0.0
19,ALCOHOLIC BEVERAGE DISTILLED RUM PROOF,66.6,231,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.12,0.0,5.0,2.0,1.0,0.07,0.05,0.018,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,1 fl oz,42.0,1.5 fl oz,0.0
20,ALCOHOLIC BEVERAGE DISTILLED VODKA PROOF,66.6,231,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,5.0,1.0,1.0,0.0,0.01,0.0,0.0,0.0,0.005,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,27.8,1 fl oz,42.0,1.5 fl oz,0.0
21,ALCOHOLIC BEVERAGE DISTILLED WHISKEY PROOF,63.9,250,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.02,0.0,3.0,1.0,0.0,0.02,0.014,0.008,0.0,0.0,0.008,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,27.8,1 fl oz,42.0,"1 jigger,  (1.5 fl oz)",0.0
22,ALCOHOLIC BEVERAGE LIQUEUR COFFEE PROOF,31.0,336,0.1,0.3,0.1,46.8,0.0,38.3,1.0,0.06,3.0,6.0,30.0,8.0,0.03,0.04,0.014,0.4,0.0,0.004,0.012,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.022,0.105,0.0,34.8,1 fl oz,52.0,"1 serving,  1.5 fl oz",0.0
23,ALCOHOLIC BEVERAGE PINA COLADA CANNED,54.9,237,0.6,7.6,0.3,27.6,0.1,,1.0,0.03,6.0,36.0,83.0,71.0,0.2,0.087,0.319,0.7,1.5,0.017,0.005,0.104,0.054,0.017,6.0,0.0,6.0,6.0,,0.0,24.0,1.0,0.0,,,,,,,,,,6.571,0.442,0.137,0.0,32.6,1 fl oz,222.0,"1 can,  (6.8 fl oz, 200 ml)",0.0
24,ALCOHOLIC BEVERAGE TEQUILA SUNRISE CANNED,78.8,110,0.3,0.1,0.1,11.3,0.0,,0.0,0.02,7.0,10.0,10.0,57.0,0.6,0.042,0.014,0.0,19.3,0.038,0.016,0.19,0.088,0.05,11.0,0.0,11.0,11.0,,0.0,97.0,5.0,0.0,,,,,,,,,,,,,0.0,31.1,1 fl oz,211.0,"1 can,  (6.8 fl oz, 200 ml)",0.0
25,ALCOHOLIC BEVERAGE WHISKEY SOUR,72.6,149,0.0,0.03,0.1,13.17,0.0,,1.0,0.08,1.0,6.0,5.0,20.0,0.06,0.009,0.006,0.1,1.6,0.011,0.006,0.02,0.008,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,,0.0,,,,,,,,,,0.005,0.001,0.012,0.0,30.4,1 fl oz,106.0,"1 portion,  (2 oz mix + 1.5 oz whiskey)",0.0
26,ALCOHOLIC BEVERAGE WHISKEY SOUR CANNED,76.9,119,0.0,0.0,0.1,13.4,0.1,,0.0,0.01,1.0,6.0,11.0,44.0,0.06,0.009,0.006,0.1,1.6,0.011,0.006,0.02,0.008,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,1.0,0.0,,,,,,,,,,,,,0.0,30.8,1 fl oz,209.0,"1 can,  (6.8 fl oz, 200 ml)",0.0
27,ALCOHOLIC BEVERAGE WINE COOKING,88.9,50,0.5,0.0,1.0,6.3,0.0,1.55,9.0,0.4,10.0,15.0,88.0,626.0,0.08,0.011,,0.2,0.0,0.0,0.01,0.1,,0.02,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,1 tsp,29.0,1 fl oz,0.0
28,ALCOHOLIC BEVERAGE WINE DESSERTS DRY,72.53,152,0.2,0.0,0.3,11.67,0.0,1.09,8.0,0.24,9.0,9.0,92.0,9.0,0.07,0.045,0.119,0.5,0.0,0.018,0.018,0.213,0.032,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,29.5,1 fl oz,103.0,"1 glass,  (3.5 fl oz)",0.0
29,ALCOHOLIC BEVERAGE WINE DESSERTS SWEET,70.51,160,0.2,0.0,0.3,13.69,0.0,7.78,8.0,0.24,9.0,9.0,92.0,9.0,0.07,0.045,0.119,0.5,0.0,0.018,0.018,0.213,0.032,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,1 fl oz,103.0,"1 glass,  (3.5 fl oz)",0.0
30,ALCOHOLIC BEVERAGE WINE LIGHT,92.23,49,0.07,0.0,0.13,1.17,0.0,1.15,9.0,0.4,10.0,15.0,88.0,7.0,0.08,0.011,,0.2,0.0,0.0,0.01,0.1,,0.02,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,1 fl oz,148.0,"1 serving,  5 fl oz",0.0
31,ALCOHOLIC BEVERAGE WINE TABLE,86.58,83,0.07,0.0,0.24,2.72,0.0,0.79,8.0,0.37,11.0,20.0,99.0,5.0,0.13,0.007,0.124,0.2,0.0,0.005,0.023,0.166,0.037,0.054,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,"1 serving,  (5 fl oz)",29.5,1 fl oz,0.0
32,ALCOHOLIC BEVERAGE WINE TABLE REDUCED,86.49,85,0.07,0.0,0.28,2.61,0.0,0.62,8.0,0.46,12.0,23.0,127.0,4.0,0.14,0.011,0.132,0.2,0.0,0.005,0.031,0.224,0.03,0.057,1.0,0.0,1.0,1.0,5.7,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,29.4,1 fl oz,147.0,"1 serving,  (5 fl oz)",0.0
33,ALCOHOLIC BEVERAGE WINE TABLE WHITE,86.86,82,0.07,0.0,0.2,2.6,0.0,0.96,9.0,0.27,10.0,18.0,71.0,5.0,0.12,0.004,0.117,0.1,0.0,0.005,0.015,0.108,0.045,0.05,1.0,0.0,1.0,1.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,29.4,1 fl oz,147.0,"1 serving,  (5 fl oz)",0.0
34,ALCOHOLIC BEVERAGES BEER HIGHER ALCOHOL,91.0,58,0.9,0.0,0.12,0.27,0.0,0.0,8.0,0.03,12.0,32.0,62.0,4.0,0.01,0.008,0.022,0.6,0.0,0.03,0.09,1.1,0.21,0.09,18.0,0.0,18.0,18.0,10.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,1 fl oz,355.0,1 bottle,0.0
35,ALCOHOLIC BEVERAGES WINE ROSE,86.4,83,0.36,0.0,0.16,3.8,0.0,3.8,10.0,0.2,10.0,18.0,59.0,5.0,0.11,0.005,0.131,0.2,0.0,0.02,0.015,0.09,0.148,0.037,1.0,0.0,1.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,1 fl oz,,,0.0
36,ALFALFA SEEDS SPROUTED RAW,92.82,23,3.99,0.69,0.4,2.1,1.9,0.2,32.0,0.96,27.0,70.0,79.0,6.0,0.92,0.157,0.188,0.6,8.2,0.076,0.126,0.481,0.563,0.034,36.0,0.0,36.0,36.0,14.4,0.0,155.0,8.0,0.0,6.0,87.0,6.0,0.0,0.0,0.02,0.0,0.0,30.5,0.069,0.056,0.409,0.0,33.0,1 cup,3.0,1 tbsp,0.0
37,ALLSPICE GROUND,8.46,263,6.09,8.69,4.65,72.12,21.6,,661.0,7.06,135.0,113.0,1044.0,77.0,1.01,0.553,2.943,2.7,39.2,0.101,0.063,2.86,,0.21,36.0,0.0,36.0,36.0,,0.0,540.0,27.0,0.0,,,,,,,0.0,0.0,,2.55,0.66,2.36,0.0,1.9,1 tsp,6.0,1 tbsp,0.0
38,ALMOND BUTTER PLAIN SALT,1.64,614,20.96,55.5,3.09,18.82,10.3,4.43,347.0,3.49,279.0,508.0,748.0,7.0,3.29,0.934,2.131,2.4,0.0,0.041,0.939,3.155,0.318,0.103,53.0,0.0,53.0,53.0,52.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,24.21,0.0,0.0,0.0,4.152,32.445,13.613,0.0,16.0,1 tbsp,250.0,1 cup,0.0
39,ALMOND PASTE,14.08,458,9.0,27.74,1.37,47.81,4.8,36.25,172.0,1.6,130.0,258.0,314.0,9.0,1.48,0.454,0.856,4.2,0.1,0.082,0.414,1.422,0.113,0.036,73.0,0.0,73.0,73.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.54,0.0,0.0,0.0,2.629,18.012,5.821,0.0,28.35,1 oz,227.0,"1 cup,  firmly packed",0.0
40,ALMONDS,4.41,579,21.15,49.93,2.97,21.55,12.5,4.35,269.0,3.71,270.0,481.0,733.0,1.0,3.12,1.031,2.179,4.1,0.0,0.205,1.138,3.618,0.471,0.137,44.0,0.0,44.0,44.0,52.1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25.63,0.0,0.0,0.0,3.802,31.551,12.329,0.0,143.0,"1 cup, whole",92.0,"1 cup, sliced",60.0
41,ALMONDS BLANCHED,4.51,590,21.4,52.52,2.91,18.67,9.9,4.63,236.0,3.28,268.0,481.0,659.0,19.0,2.97,1.027,1.835,3.2,0.0,0.191,0.711,3.5,0.314,0.115,49.0,0.0,49.0,49.0,52.1,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,23.75,0.0,0.0,0.0,3.953,33.415,12.368,0.0,145.0,"1 cup, whole kernels",9.1,1 tbsp,0.0
42,ALMONDS DRY ROASTED SALT,2.41,598,20.96,52.54,3.07,21.01,10.9,4.86,268.0,3.73,279.0,471.0,713.0,3.0,3.31,1.099,2.232,2.0,0.0,0.077,1.197,3.637,0.321,0.136,55.0,0.0,55.0,55.0,52.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,23.9,0.0,0.0,0.0,4.092,33.076,12.955,0.0,138.0,"1 cup, whole kernels",28.35,"1 oz,  (22 whole kernels)",0.0
43,ALMONDS HONEY ROASTED UNBLANCHED,1.7,594,18.17,49.9,2.33,27.9,13.7,,263.0,2.83,240.0,400.0,560.0,130.0,2.6,0.97,2.003,,0.7,0.114,0.953,2.819,0.258,0.085,32.0,0.0,32.0,32.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,4.73,32.402,10.472,0.0,144.0,"1 cup, whole kernels",28.35,1 oz,0.0
44,ALMONDS OIL ROASTED SALT,2.8,607,21.23,55.17,3.13,17.68,10.5,4.55,291.0,3.68,274.0,466.0,699.0,1.0,3.07,0.955,2.46,4.1,0.0,0.092,0.781,3.665,0.229,0.118,27.0,0.0,27.0,27.0,52.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25.97,0.0,0.0,0.0,4.208,34.793,13.519,0.0,157.0,"1 cup, whole kernels",28.35,"1 oz,  (22 whole kernels)",0.0
45,AMARANTH GRAIN COOKED,75.16,102,3.8,1.58,0.77,18.69,2.1,,47.0,2.1,65.0,148.0,135.0,6.0,0.86,0.149,0.854,5.5,,0.015,0.022,0.235,,0.113,22.0,,22.0,,,,,,,,,,,,0.19,,,,,,,,246.0,1 cup,,,0.0
46,AMARANTH GRAIN UNCOOKED,11.29,371,13.56,7.02,2.88,65.25,6.7,1.69,159.0,7.61,248.0,557.0,508.0,4.0,2.87,0.525,3.333,18.7,4.2,0.116,0.2,0.923,1.457,0.591,82.0,0.0,82.0,82.0,69.8,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,1.19,0.0,0.0,0.0,1.459,1.685,2.778,0.0,193.0,1 cup,,,0.0
47,AMARANTH LEAVES RAW,91.69,23,2.46,0.33,1.5,4.02,,,215.0,2.32,55.0,50.0,611.0,20.0,0.9,0.162,0.885,0.9,43.3,0.027,0.158,0.658,0.064,0.192,85.0,0.0,85.0,85.0,,0.0,2917.0,146.0,0.0,,,,,,,0.0,0.0,1140.0,0.091,0.076,0.147,0.0,28.0,1 cup,14.0,1 leaf,6.0
48,ANCHOVY EUROPEAN RAW,73.37,131,20.35,4.84,1.44,0.0,0.0,0.0,147.0,3.25,41.0,174.0,383.0,104.0,1.72,0.211,0.07,36.5,0.0,0.055,0.256,14.024,0.645,0.143,9.0,0.0,9.0,9.0,,0.62,50.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.57,,,0.1,1.282,1.182,1.637,60.0,85.0,3 oz,,,0.0
49,ANIMAL FAT BACON GREASE,0.0,897,0.0,99.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.11,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.5,101.0,0.0,39.004,44.874,11.144,95.0,4.3,1 tsp,,,0.0
50,ANISE SEED,9.54,337,17.6,15.9,6.95,50.02,14.6,,646.0,36.96,170.0,440.0,1441.0,16.0,5.3,0.91,2.3,5.0,21.0,0.34,0.29,3.06,0.797,0.65,10.0,0.0,10.0,10.0,,0.0,311.0,16.0,0.0,,,,,,,0.0,0.0,,0.586,9.78,3.15,0.0,2.1,"1 tsp, whole",6.7,"1 tbsp, whole",0.0
51,APPLEBEE CHICKEN TENDERS KIDS MENU,43.42,296,19.25,16.15,2.81,18.36,1.2,0.39,23.0,0.9,30.0,305.0,337.0,763.0,0.71,0.071,0.26,16.9,,0.1,0.177,7.89,1.565,0.484,,,,,,0.15,72.0,10.0,7.0,0.0,23.0,11.0,6.0,72.0,1.28,,,25.1,2.852,3.568,7.894,51.0,35.0,1 piece,99.0,"1 serving, (3 pieces)",0.0
52,APPLEBEE CHICKEN TENDERS PLATTER,43.38,297,19.62,16.24,2.78,17.98,1.0,0.36,23.0,0.9,30.0,298.0,336.0,740.0,0.71,0.069,0.258,16.8,,0.103,0.183,7.847,1.67,0.506,,,,,,0.14,67.0,9.0,7.0,1.0,20.0,11.0,5.0,72.0,1.45,,,,2.849,4.385,7.042,52.0,209.0,1 serving,,,0.0
53,APPLEBEE CHILI,71.31,157,12.56,9.79,1.76,4.57,1.4,2.27,34.0,1.46,18.0,104.0,320.0,381.0,2.23,0.086,0.084,13.1,1.1,0.037,0.207,3.557,0.405,0.321,,,,,,1.26,1436.0,149.0,93.0,0.0,577.0,200.0,4639.0,367.0,1.15,,,,4.15,4.809,0.644,45.0,136.0,1 cup,182.0,1 serving,0.0
54,APPLEBEE COLESLAW,78.15,120,0.79,7.09,0.79,13.17,2.8,9.33,36.0,0.26,10.0,23.0,156.0,178.0,0.19,0.017,0.148,0.4,13.7,0.03,0.063,0.3,0.205,0.129,,,,,,,1504.0,77.0,2.0,425.0,685.0,2.0,5.0,53.0,0.5,,,65.1,1.061,1.404,3.819,2.0,76.0,1 serving,,,0.0
55,APPLEBEE CRUNCHY ONION RINGS,33.09,356,4.58,19.61,2.55,40.17,3.1,4.48,22.0,0.67,17.0,90.0,135.0,833.0,0.43,0.087,0.486,6.0,,0.107,0.091,0.73,0.405,0.077,,,,,,,4.0,0.0,0.0,0.0,2.0,1.0,0.0,13.0,1.27,,,41.1,3.574,4.408,10.255,,350.0,1 serving,,,0.0
56,APPLEBEE DOUBLE CRUNCH SHRIMP,40.12,323,12.31,18.9,2.71,25.96,2.6,1.07,45.0,1.03,23.0,271.0,97.0,838.0,0.78,0.14,0.281,26.6,,0.09,0.089,0.9,0.34,0.055,14.0,,,,50.1,0.43,5.0,2.0,2.0,,,,,,1.97,,,29.1,3.366,4.235,9.682,86.0,206.0,1 serving,,,0.0
57,APPLEBEE FISH HAND BATTERED,58.82,202,13.23,9.14,2.17,16.65,0.9,0.51,13.0,0.35,20.0,234.0,241.0,607.0,0.34,0.039,0.097,17.8,,0.053,0.093,2.29,0.4,0.201,,,,,,1.23,22.0,3.0,2.0,1.0,5.0,5.0,0.0,100.0,0.88,,,,1.613,2.014,4.559,34.0,250.0,1 serving,,,0.0
58,APPLEBEE FRENCH FR,41.29,290,3.31,13.17,2.72,39.5,3.9,0.0,19.0,1.01,29.0,137.0,538.0,618.0,0.49,0.109,0.268,0.4,0.7,0.103,0.058,2.18,0.495,0.205,,,,,,,0.0,0.0,0.0,,,,,,0.93,,,33.4,2.333,3.31,5.802,1.0,164.0,1 serving,,,0.0
59,APPLEBEE MOZZARELLA STICKS,40.65,316,14.87,18.37,3.23,22.87,2.1,2.8,319.0,0.43,20.0,307.0,106.0,838.0,2.0,0.059,0.239,17.6,,0.073,0.26,0.66,0.41,0.067,,,,,,0.99,432.0,113.0,110.0,0.0,37.0,4.0,0.0,44.0,0.71,,,22.2,6.73,4.217,4.58,33.0,32.0,1 piece,289.0,1 serving,0.0
60,APPLEBEE OUNCE HOUSE SIRLOIN STEAK,61.88,189,26.85,9.08,2.28,0.0,,0.0,16.0,2.07,24.0,202.0,350.0,604.0,5.35,0.076,0.014,24.7,,0.05,0.287,4.903,0.345,0.575,,,,,,2.0,22.0,7.0,7.0,,,,,,0.37,,,,3.477,4.35,0.532,79.0,157.0,1 serving,,,0.0
61,APPLES DRIED SULFURED STEWED SUGAR,84.13,57,0.22,0.07,0.26,15.32,2.0,13.32,3.0,0.33,4.0,9.0,105.0,20.0,0.05,0.044,0.021,0.3,1.0,0.006,0.019,0.129,0.057,0.05,0.0,0.0,0.0,0.0,3.8,0.0,17.0,1.0,0.0,0.0,7.0,6.0,0.0,4.0,0.12,0.0,0.0,0.7,0.012,0.003,0.022,0.0,255.0,1 cup,,,0.0
62,APPLES DRIED SULFURED UNCOOKED,31.76,243,0.93,0.32,1.1,65.89,8.7,57.19,14.0,1.4,16.0,38.0,450.0,87.0,0.2,0.191,0.09,1.3,3.9,0.0,0.159,0.927,0.245,0.125,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.53,0.0,0.0,3.0,0.052,0.013,0.093,0.0,86.0,1 cup,6.4,1 ring,0.0
63,APPLES FROZEN UNSWEETENED HEATED,87.16,47,0.29,0.33,0.23,12.0,1.3,,5.0,0.19,3.0,8.0,76.0,3.0,0.05,0.065,0.146,0.2,0.4,0.014,0.011,0.043,0.057,0.032,1.0,0.0,1.0,1.0,,0.0,20.0,,0.0,,,,,,,0.0,0.0,,0.053,0.013,0.095,0.0,206.0,"1 cup, slices",,,0.0
